,Category,Skills,Education,Experience
0,,,,
1,INFORMATION TECHNOLOGY,"skills for networking issues, end user problems, and network security. ","education programs to explain upgrades to end users. migrating users' documents from local computer storage to shares on the file servers. configuring, supporting, and maintaining file shares using distributed file system (dfs) managing, implementing, and testing enterprise backup infrastructure systems such as the symantec veritas netbackup, symantec backup exec system recovery/livestate, and vranger backup servers. managing, configuring, and supporting datadomain storage. configuring and supporting microsoft windows server 2003, 2008, and 2012. installing, configuring, and supporting microsoft windows 7, windows 8, and microsoft office 2007, 2010, and 2013.    installing, configuring, and supporting mcafee anti-virus software on servers. migrating exchange infrastructure from exchange 2003 to exchange 2007 and from exchange 2007 to exchange 2010. supporting servers in the virtualization infrastructure using vmware vsphere. installing, configuring, and testing veeam virtual machine backup software and virtual desktop infrastructure (vdi). reviewing systems reporting in system center configuration manager (sccm). administering and maintaining the symantec enterprise vault servers. managing the active directory domain controllers (dcs). creating and maintaining group policy objects (gpos) in microsoft active directory. configuring and supporting microsoft exchange active sync on devices with apple ios and android mobile operating systems. configuring and supporting blackberry devices on the blackberry enterprise server to receive exchange email. developing, testing, designing, and implementing application scripts using languages such as command batch files, visual basic script, and powershell. creating policies and procedural documentation.  information services liaison, t aug 2005 to aug 2007  company name ï¼​ city , state  troubleshooting hardware and software problems over the telephone and through remote pc administration software. installing, configuring, and supporting mcafee anti-virus software on desktops. installing, configuring, and supporting bbars computer backup software. developing and maintaining websites on servers running microsoft sharepoint server and internet information services (iis). supporting systems management server (sms) troubleshooting lan, wan, internet, and intranet network and security access. troubleshooting network connectivity issues related to tcp/ip, domain name service (dns), dynamic host configuration protocol (dhcp) protocols, internet security and acceleration (isa) proxy server, and vpn. troubleshooting web application/page issues, client browsers, and related software. administering and maintaining of end user accounts, permissions, and access rights in in microsoft active directory. administering and maintaining of ntfs security permissions on the file servers. installing, configuring, and maintaining hardware such as: servers, workstations, laptops, printers, and scanners in a windows enterprise environment. installing, configuring, and supporting printers on the print servers. installing, configuring, and supporting microsoft windows server 2000 and 2003, microsoft windows xp and windows vista, and microsoft office xp, 2003, and 2007.  education bachelor of science , information technology 2005 florida international univeristy ï¼​ city , state , united states  coursework in programming, web administration, network administration, database administration, and systems administration â€“ linux programming languages: c++, java, jsp, html, css, vb.net, bash, t-sql  ","experienced in server management, systems analysis, and offering in-depth understanding of it infrastructure areas. detail-oriented, independent, and focused on taking a systematic approach to solving complex problems. demonstrated exceptional technical knowledge and skills while working with various teams to achieve shared goals and "
2,INFORMATION TECHNOLOGY,"skills to interface effectively with all levels of an organization. expertise spans: network engineering, helpdesk administration, software licensing, disaster recovery, backup/restore operations/project management, strategic planning/analysis, budgeting, teambuilding/training, vendor relations policy/procedure development, quality assurance, troubleshooting, problem solving, process improvement. ","education master of science : leadership walden university ï¼​ city , state 2015 master of science : information systems management project management walden university ï¼​ city , state 2013 bachelor of science : information systems management mechanical engineering walden university ï¼​ city , state certifications mcp, â comptia network+, comptia a+ skills anti-virus, backup, cabling, cisco, hardware, contracts, client, clients, database, disaster recovery planning, disaster recovery, email, erp, features, imaging, information systems, inspection, inspects, lan, notebooks, laptops, mechanical, access, office, enterprise, network administrator, network, networks, nortel, peripherals, pick, policies, printers, programming, real-time, scanner, scheduling, servers, script, shipping, switches, switch, user documentation, telecom, wan, wiring   ","experience 04/2013 to current information technology manager company name ï¼​ city , state  a bankruptcy trustee office handling chapter 13 and chapter 12 cases for the northern district of georgia manages application database/hardware systems used to track chapter 13 bankruptcy cases, all office technologies,, information systems, and anti-spam/anti- virus servers. evaluates, recommends, implements, supports, and troubleshoots hardware and software. maintains lan/wan infrastructure, connectivity, and security as well as lan user documentation. performs disaster recovery planning. administers licenses and service contracts; schedules service visits from vendors and suppliers. defines, documents, assesses, and updates it-related procedures as needed. creates and maintains user accounts, including email. inspects all employees' computers quarterly to ensure compliance of configuration and settings with office policies. coordinates special "
3,WORKING RF,"skills big data, c, c++, charts, circuit design, hardware, data acquisition, data analyst, data collection, data mining, databases, database, dbm, dti, design software, documentation, functional, gsm, innovation, java, labview, team leader, logic analyzer, mac, manufacturing processes, matlab, excel, microsoft office, office, microwave, radar, ncs, network, db, packaging, pivot tables, programming, project design, proposals, publication, python, quality, requirement, research, sas, self-starter, spectrum analyzer, spss, sql, ssl, statistics, surveys, system design, troubleshooting, validation   ","education m.s : electrical and computer engineering , dec. 2013 purdue university gpa: gpa: 3.9/4.0 electrical and computer engineering gpa: 3.9/4.0 b.s : electrical and computer engineering , dec. 2011 gpa: gpa: 3.2/4.0 electrical and computer engineering gpa: 3.2/4.0 thesis the design and evaluation of a 5.8 ghz laptop-based radar system publication â· innovative laptop radar design to operate in both fmcw and cw mode â· doppler shift (dti), ranging (rti), and sar measurement capability â· operate in ism frequency band with +13dbm transmitting power â· data acquisition and signal processing using matlab ","experience working rf systems engineer  may 2014 to current company name  qualification â· multidisciplinary background: rf hardware designs, manufacturing operations and data analyst. "
4,INFORMATION TECHNOLOGY,"skills active directory, administrative support, adobe acrobat, architect, backup, budget, client/server, hardware, concept, client, clients, client support, das, database, disaster recovery, ghost, lan, laptops, mac hardware, mac, exchange, microsoft exchange, microsoft exchange 2003, microsoft office, windows 7, windows, microsoft windows 2003, windows xp, nec, novell, operating systems, operating system, pbx, peripherals, policies, processes, purchasing, servers, sla, sql, symantec, technical support, phones, video, vista, web servers, wan, windows server   ","education computer technician , 07/2006 to 06/2008 company name ï¼​ city , state  performed pc and mac hardware and software configurations. troubleshot general novell client issues. installed and maintained peripherals. built images to be used with symantec ghost.  education master of science : business information technology , 2018 depaul university ï¼​ city , state bachelor of science : network and communications management , 2009 devry university ï¼​ city , state ","experience information technology manager , 03/2013 to current company name ï¼​ city , state  managed a four-person local it team, allocating resources to ongoing "
5,IT MANAGEMENT,skills. (solar) ,"education and certificates troubleshooting q comptia a+ certified (2012) q advanced troubleshooting q comptia net+ certification class q virus and spyware removal q mcsa certification class q computer diagnostics and repair q web development i + ii class q gaming console repair and q digital media manipulation class modification q java programming class q mobile device repair q hardware support and programming and web troubleshooting q html - html5 q optimizing and performance tuning q xml q audio and video technologies q css - css3 q medical technology installation and q javascript troubleshooting q command line q java management q actionscript q hardware and software upgrade q php planning q database servers q documentation q android mobile application q organization development q multi-project priority management q content management systems (cms) operating systems q website enhancement q windows 95 - 8 q storyboarding q windows server 2003 - 8 q search engine optimization (seo) q windows phone 7.0 - 8.0 q social media and marketing q multiple linux distributions q ubuntu 10.04 lts - 12.10 networking q android 1.0 - 4.0.4 q cloud computing q mac os x v10.0 - v10.8 q server management q ios 1.0 - 6.1 q active directory q remote connection technologies programs q proficiency in numerous protocols q microsoft office 2010 including tcp/ip q small business management q information security software (client and server) q wireless technologies q adobe creative suite 5 q telephony technologies q wiring and network engineering graphics and media q photo enhancing electronics q brochure and newsletter formatting q electronic circuits and components q audio and video editing q circuit diagrams and prototyping q logo and business card q logic, electronic and computational algorithms q electromagnetisms and waves q quantum particle mechanics q as well as many miscellaneous it q energy and electrical alternatives ","experience in hardware and software troubleshooting/management. with additional experience in networking, task automation, server technologies, digital graphic design, client + server side programming technologies and popular industry software packages including microsoft office and adobe creative suite. "
6,INFORMATION TECHNOLOGY,"skills desktops, ethernet cables cisco routers video & sound cards cd-rom drives multiplexors scanners monitors switches tcp/ip configuration installing, adding and deleting user accounts with active directory strong software and application knowledge such as avaya, microsoft office, and remedy ","education and certificates troubleshooting q comptia a+ certified (2012) q advanced troubleshooting q comptia net+ certification class q virus and spyware removal q mcsa certification class q computer diagnostics and repair q web development i + ii class q gaming console repair and q digital media manipulation class modification q java programming class q mobile device repair q hardware support and programming and web troubleshooting q html - html5 q optimizing and performance tuning q xml q audio and video technologies q css - css3 q medical technology installation and q javascript troubleshooting q command line q java management q actionscript q hardware and software upgrade q php planning q database servers q documentation q android mobile application q organization development q multi-project priority management q content management systems (cms) operating systems q website enhancement q windows 95 - 8 q storyboarding q windows server 2003 - 8 q search engine optimization (seo) q windows phone 7.0 - 8.0 q social media and marketing q multiple linux distributions q ubuntu 10.04 lts - 12.10 networking q android 1.0 - 4.0.4 q cloud computing q mac os x v10.0 - v10.8 q server management q ios 1.0 - 6.1 q active directory q remote connection technologies programs q proficiency in numerous protocols q microsoft office 2010 including tcp/ip q small business management q information security software (client and server) q wireless technologies q adobe creative suite 5 q telephony technologies q wiring and network engineering graphics and media q photo enhancing electronics q brochure and newsletter formatting q electronic circuits and components q audio and video editing q circuit diagrams and prototyping q logo and business card q logic, electronic and computational algorithms q electromagnetisms and waves q quantum particle mechanics q as well as many miscellaneous it q energy and electrical alternatives ","experience with information technology service management (itsm)  desktops, ethernet cables cisco routers video & sound cards cd-rom drives multiplexors scanners monitors switches tcp/ip configuration installing, adding and deleting user accounts with active directory strong software and application knowledge such as avaya, microsoft office, and remedy experience with information technology service management (itsm)  experience with information technologyâ  strong â software and application knowledge such as avaya,microsoft office,and remedy installing,adding and deleting user accounts with active directory  ethernet cables video & sound cards cd-rom drives multiplexors scanners monitors switches tcp/ip configuration installing, adding and deleting user accounts with active directory strong software and application knowledge such as avaya, microsoft office, and remedy experience with information technology service management (itsm)  experience with information technologyâ  strong â software and application knowledge such as avaya,microsoft office,and remedy installing,adding and deleting user accounts with active directory experience with information technology service managment (itsm)  ethernet cables cd-rom drives scanners tcp/ip configuration installing, adding and deleting user accounts with active directory strong software and application knowledge such as avaya,  experience with information technologyâ  strong â software and application knowledge such as avaya,microsoft office,and remedy installing,adding and deleting user accounts with active directory experience with information technology service managment (itsm)    microsoft office, and remedy experience with information technology service management (itsm)  work history information technology specialist , 02/2018 to current  company name   defines scope, plans and deliverables for assigned "
7,BRANCH CHIEF,"skills, excellent written and verbal communication skills, seeks challenging position with an organization where i can make a big impact with my multifaceted ","education. excellent record of problem solving and achieving results in high-operations-tempo environments. successful team leader and highly-motivated mentor with proven dedication to self and subordinate improvement. *superior knowledge of infosec/netops techniques to determine requirements for information technology equipment and systems. excellent knowledge and ability to negotiate in financial control, budget systems, and security management. working knowledge of budget and cost analysis processes. *thorough knowledge of office of management and budget (omb), department of defense (dod) and u.s. air force regulations, principles and practices pertaining to logistics, infosec/netops, installations, and mission support functions. exceptional ability to recognize and analyze problems, conduct research; summarize results, and make appropriate recommendations. recognized expert in dod planning, programming, budgeting and execution (ppbe) process. *expertise in capability planning in it environment, enterprise technical/certification and accreditation standards, ccri processes, procedures, security practices, and ia vulnerability tools i.e. acas. *ability to apply knowledge of current security tools, and techniques to execute authority to connect and authority to operate network systems. *thorough knowledge of scada systems operations, security, safeguards and protection *security clearance: top secret (sci) w/ci polygraph professional experience 07/2014 to current branch chief information technology specialist company name ï¼​ city  effectively oversee, manage, and evaluate multiple enterprise level it programs, serve as senior technical advisor and evaluator for programs using cutting edge technology for the headquarters air force (haf) command, control, communications, computer, intelligence, surveillance and reconnaissance (c4isr). establishes, develops, and maintains effective working relationships with top functional area managers, program managers, commanders, contractors, vendors, dod and other non-dod agencies, and communications and information personnel in the national capital region. researches and recommends innovative approaches to resolve major it problems. performs more complex aspects of the project management, evaluation, and oversight responsibilities such as feasibility studies, systems analysis, systems development, implementation, systems integration, and problem resolution.  08/2009 to 07/2014 information technology specialist (infosec/netops) company name ï¼​ city , state  developed detailed operations plans and operations orders supporting cyber requirements at the strategic, operational, and tactical levels of cyber warfare. enabled crisis action planning, development of strike packages and cyber effects to protect u.s. air, land, sea, space, and cyberspace domains. collaborated with defense information systems agency and other us government partners to develop and implement directives for global information grid (gig) operations. developed information operations and computer network operations plans, including defensive computer operations planning, to ensure support geographic combatant commanders' intent. made recommendations to posture gig to respond to emerging and current threats. supported defend the nation (dtn)-china operation planning team with technical, infosec doctrine, appropriate technologies, techniques, and tools. coordinated changing mission parameters with us/allied/coalition partners: identified and prioritized intelligence community cyber requirements and provide intrusion response planning. made substantive recommendations to netops policy, doctrine, capability developments. utilized infosec existing policy guidance as it pertains to threats, operating environment and operational requirements. provided expert analysis of ongoing net/ops events, malicious activity and trend analysis. developed operational plans and orders to counter malicious activity and mitigate identified or potential threats to the gig.  09/2006 to 08/2009 senior technical analyst company name  technical lead on digital media ","experience, training and "
8,INFORMATION TECHNOLOGY,"skills, strong problem solving skills. sound work ethic, capable of working independently or in a team environment. highly professional with the ability to set and maintain priorities.  ","education and training 1 1988 curry college  city , state business management  bachelor of arts business management certifications microsoft certified professional -nt 4 0 microsoft certified professional - windows xp / windows 2003 microsoft certified professional - internet comp-ta a+ certified microsoft certified system administrator (eligible should be completed by end of 2006) microsoft sql 2000 design and administration microsoft access i, ii, iii navision report writer i & ii skills a+ certified, active directory, billing, business process, c, cash flow, cisco, cisco routers, hardware, network systems, content management, contracts, coral, databases, database, delivery, disaster recovery, email, erp, extranet, financial, firewalls, internet marketing, laptops, lotus, microsoft access i, microsoft access, microsoft certified professional, microsoft certified, microsoft exchange, office, microsoft office 97, windows, windows 2000, 2000, microsoft windows 2003, microsoft nt 4, nt 4 0, windows nt 4 0, microsoft windows nt4 0, windows xp, navision, network security, network, office suites, operating systems, organizing, report writer i, reporting, sco unix, servers, microsoft sql, sql 2000, sybase, system administrator, phones, phone, training employees, visio, voice mail, web site, website additional information  awards: who's who among students in american universities and colleges outstanding young men of america united states achievement academy - national award winner sanford r. levitt - 1 -   ",experience.  strengths - excellent communication 
9,INFORMATION TECHNOLOGY,"skills for quality development of standard documentation, as well as genuine leadership and assistance for associates and clients.â  highlights  enterprise platforms current pmp certification project tracking hardware and software upgrade planning certified information security manager user experience (ux) design self-motivated  vast technical knowledge server management mac and pc expert computer programming highly motivated resourceful control system design proficient multi-tasker  ","education master of science : computer & information science , 2015 university of houston ï¼​ city , state , usa  top 15 % of class emphasis in cyber security andâ information awareness.â  coursework in operating systems and system programming coursework in computer networking and information technology   bachelor of science : management of information systems , 2011 university of maryland university college ï¼​ city , state , usa  coursework in computer networking and information technology 4.0â  gpa   skills  system administration windows server 2003 windows server 2008 vmwareâ  active directory microsoft exchange 2013 large computer networks linux mac os microsoft dynamics access control securityâ   ",experience to deliver insightful network infrastructure and building automation solutions. network engineering expert with strong background in project management and product support. proven communication 
